station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
14103;Maine - Liancourt;48.83506436;2.32373145;27;1;1;1;Paris
20034;Sorbier - Ménilmontant;48.8685424;2.389772125;24;1;1;1;Paris
18034;Leibniz - Jean Dollfus;48.89632835;2.333390424;32;1;1;1;Paris
20008;Pyrénées - Avron;48.8532469;2.405871045;32;1;1;1;Paris
6104;Herschel - Observatoire;48.84342376;2.337664515;37;1;1;1;Paris
16102;Pergolèse - Marbeau;48.87356871;2.281512523;27;1;1;1;Paris
12019;Gare de Reuilly - Picpus;48.84267354;2.39729438;28;1;1;1;Paris
21309;Mairie d'Issy;48.82376779;2.272311151;41;1;1;1;Issy-les-Moulineaux
20104;Louis Lumière.;48.86216198;2.411125782;22;1;1;1;Paris
20024;Gambetta - Père Lachaise;48.8642957;2.398228667;29;1;1;1;Paris
14135;Jourdan - Cité Universitaire;48.81989734;2.339700796;39;1;1;1;Paris
12156;Niger - Soult;48.84369906;2.410361237;24;1;1;1;Paris
20001;Place de la Nation - Charonne;48.84836467;2.399762386;36;1;1;1;Paris
18140;Porte de Clignancourt - Ney;48.89964112;2.344321422;40;1;1;1;Paris
8110;Gare Saint-Lazare - Stockholm;48.87712732;2.322417162;32;1;1;1;Paris
4108;Quai de Béthune - Pont de la Tournelle;48.85097433;2.356307209;25;1;1;1;Paris
19201;Petit - Georges Thill;48.88603132;2.389575318;23;1;1;1;Paris
1007;Turbigo - Française;48.86358858;2.34777946;16;1;1;1;Paris
19010;Emile Reynaud - Porte de la Villette;48.90098954;2.388702258;22;1;1;1;Paris
13005;Cordelières - Arago;48.83548072;2.348572462;46;1;1;1;Paris
22301;Chausson - Gabriel Péri;48.921891;2.295230627;22;1;1;1;Gennevilliers
19002;Centquatre;48.88933354;2.370785438;42;1;1;1;Paris
41405;Place de l'Europe - Alfortville;48.78913702;2.428480089;24;1;1;1;Alfortville
9009;Square Montholon;48.87662038;2.345764115;21;1;1;1;Paris
20006;Pyrénées - Plaine;48.85026702;2.406282127;12;1;1;1;Paris
3010;Beaubourg - Michel-le-Comte;48.86253494;2.354310304;17;1;1;1;Paris
21026;Sèvres - Général Leclerc;48.83012156;2.231426239;30;1;1;1;Boulogne-Billancourt
9037;Parme - Clichy;48.88126642;2.328197093;24;1;1;1;Paris
2015;Louis le Grand - Italiens;48.87050894;2.334054462;33;1;1;1;Paris
10034;Louis Blanc - La Chapelle;48.88400896;2.359933555;21;1;1;1;Paris
32013;Saint-Denis - Université;48.94563431;2.363829799;24;1;1;1;Saint-Denis
15132;Bargue -  Dutot;48.837884;2.308876;21;1;1;1;Paris
14137;Maurice d'Ocagne - General Maudhuy;48.82414283;2.315878943;30;1;1;1;Paris
14019;Sarrette - Général Leclerc;48.82503085;2.326412869;22;1;0;0;Paris
10006;Petites Ecuries - Faubourg Saint-Denis;48.87287121;2.354215086;28;1;1;1;Paris
12002;Lacuée - Lyon;48.84926848;2.370458543;16;1;1;1;Paris
10011;Bourse du Travail;48.86897664;2.362343855;17;1;1;1;Paris
16103;Traktir - Foch;48.87275533;2.29154978;22;1;1;1;Paris
8028;Arsène Houssaye - Champs-Elysées;48.87340928;2.29779046;29;1;1;1;Paris
21953;Gare de Bellevue;48.81924047;2.229530923;20;1;1;1;Meudon
10009;Mairie du 10ème;48.87208945;2.357582599;19;1;1;1;Paris
7021;Bosquet - Saint-Dominique;48.85865171;2.30371658;28;1;1;1;Paris
11037;Faubourg Du Temple - Republique;48.86787248;2.364898216;38;1;1;1;Paris
3001;Beaumarchais - Saint-Gilles;48.8580378;2.3679352;51;1;1;1;Paris
22401;Charles de Gaulle - Plateau de Vanves;48.82233089;2.298571803;33;1;1;1;Malakoff
12112;Charenton - Jardiniers;48.83382177;2.394692664;31;1;1;1;Paris
21506;Maurice Payret-Dortail;48.87811957;2.223362513;22;1;1;1;Suresnes
31709;Place de la Fraternité;48.85716406;2.42284745;22;1;1;1;Montreuil
